company_id,company_name,ticker,country,region,sector,industry,reporting_year,scope1_mt_co2e,scope2_location_mt_co2e,scope2_market_mt_co2e,scope3_total_mt_co2e,scope1_plus_scope2_location_mt,emissions_intensity_mt_per_musd,revenue_usd_millions,reporting_standard,data_source,third_party_verified,net_zero_target_year,notes,data_collection_date
GHG0001,Sasol,SOL,South Africa,Africa,Materials,Chemicals,2022,47.3,2.1,,,49.4,0.008386,5891,GHG Protocol,CDP_2023/SustainabilityReport_2023,TRUE,2050,Coal-to-liquid fuel — very high Scope 1,2024-01-01 to 2025-12-31
GHG0002,Eskom,—,South Africa,Africa,Utilities,Electric Power,2022,195,,,,195,,,GHG Protocol (ZA),SouthAfricaGHGInv_2023,FALSE,,State-owned; coal dominant; financial distress,2024-01-01 to 2025-12-31
GHG0003,Woodside Energy,WDS,Australia,Asia-Pacific,Energy,E&P (LNG),2022,7.1,0.5,,,7.6,0.000452,16816,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,,2024-01-01 to 2025-12-31
GHG0004,Santos,STO,Australia,Asia-Pacific,Energy,E&P,2022,6.3,0.4,,,6.7,0.000923,7259,GHG Protocol,NGER_2023/CDP_2023,TRUE,2040,,2024-01-01 to 2025-12-31
GHG0005,BHP,BHP,Australia,Asia-Pacific,Materials,Mining,2022,14.9,3.4,,,18.3,0.000281,65098,GHG Protocol,CDP_2023/SustainabilityReport_2023,TRUE,2050,,2024-01-01 to 2025-12-31
GHG0006,South32,S32,Australia,Asia-Pacific,Materials,Mining,2022,14.2,2.3,,,16.5,0.001741,9476,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,,2024-01-01 to 2025-12-31
GHG0007,BlueScope Steel,BSL,Australia,Asia-Pacific,Materials,Steel,2022,5.9,1.2,,,7.1,0.000553,12834,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,,2024-01-01 to 2025-12-31
GHG0008,Fortescue Metals Group,FMG,Australia,Asia-Pacific,Materials,Mining,2022,2.5,1.8,,,4.3,0.000247,17395,GHG Protocol,NGER_2023/CDP_2023,TRUE,2030,,2024-01-01 to 2025-12-31
GHG0009,Evolution Mining,EVN,Australia,Asia-Pacific,Materials,Mining,2022,0.5,0.4,,,0.9,0.00047,1914,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,Gold mining,2024-01-01 to 2025-12-31
GHG0010,Iluka Resources,ILU,Australia,Asia-Pacific,Materials,Mining,2022,0.4,0.2,,,0.6,0.000362,1658,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,Mineral sands,2024-01-01 to 2025-12-31
GHG0011,Poseidon Nickel,POS.ASX,Australia,Asia-Pacific,Materials,Mining,2022,0.2,0.1,,,0.3,,,GHG Protocol,NGER_2023,FALSE,,Small but included for diversity,2024-01-01 to 2025-12-31
GHG0012,Qantas,QAN,Australia,Asia-Pacific,Transportation,Airlines,2022,9.3,0.1,0.1,,9.4,0.00104,9042,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,,2024-01-01 to 2025-12-31
GHG0013,AGL Energy,AGL,Australia,Asia-Pacific,Utilities,Electric Power,2023,27.9,0.2,,,28.1,0.002449,11476,GHG Protocol,NGER_2023/CDP_2023,TRUE,2035,,2024-01-01 to 2025-12-31
GHG0014,Origin Energy,ORG,Australia,Asia-Pacific,Utilities,Gas & Power,2022,20.1,0.4,,,20.5,0.001287,15928,GHG Protocol,NGER_2023/CDP_2023,TRUE,2050,,2024-01-01 to 2025-12-31
